"Zona","Entrevistados","SemOcupacao","TrabZonaVive","Ocupados","FPO","Comp_FPO"
162,330,142,73,188,38.8,61.2
163,603,260,95,343,27.7,72.3
164,506,227,74,279,26.5,73.5
165,533,214,54,319,16.9,83.1
166,545,233,76,312,24.4,75.6
167,434,212,81,222,36.5,63.5
168,460,205,79,255,31,69
169,516,233,91,283,32.2,67.8
170,336,150,35,186,18.8,81.2
171,355,163,58,192,30.2,69.8
172,334,167,27,167,16.2,83.8
175,494,205,72,289,24.9,75.1
176,508,220,81,288,28.1,71.9
177,350,169,48,181,26.5,73.5
178,369,165,43,204,21.1,78.9
179,301,165,31,136,22.8,77.2
180,419,191,65,228,28.5,71.5
181,416,226,47,190,24.7,75.3
182,381,188,57,193,29.5,70.5
183,452,208,53,244,21.7,78.3
184,521,260,55,261,21.1,78.9
185,343,151,37,192,19.3,80.7
186,368,181,57,187,30.5,69.5
187,356,166,66,190,34.7,65.3
188,368,193,76,175,43.4,56.6
189,336,167,36,169,21.3,78.7
190,416,181,65,235,27.7,72.3
191,314,150,29,164,17.7,82.3
192,329,163,32,166,19.3,80.7
193,436,234,62,202,30.7,69.3
194,429,210,36,219,16.4,83.6
195,388,200,56,188,29.8,70.2
196,332,154,33,178,18.5,81.5
197,481,222,85,259,32.8,67.2
198,417,169,102,248,41.1,58.9
199,624,291,86,333,25.8,74.2
200,386,192,51,194,26.3,73.7
201,456,204,23,252,9.1,90.9
202,539,224,118,315,37.5,62.5
203,380,156,47,224,21,79
204,335,136,59,199,29.6,70.4
205,394,160,63,234,26.9,73.1
206,395,165,53,230,23,77
207,392,151,67,241,27.8,72.2
208,351,151,36,200,18,82
209,526,253,74,273,27.1,72.9
210,472,254,40,218,18.3,81.7
211,573,294,47,279,16.8,83.2
213,443,220,41,223,18.4,81.6
214,456,238,31,218,14.2,85.8
215,343,170,41,173,23.7,76.3
216,460,237,57,223,25.6,74.4
217,431,218,45,213,21.1,78.9
218,314,156,57,158,36.1,63.9
219,439,219,73,220,33.2,66.8
220,415,215,47,200,23.5,76.5
221,410,187,84,223,37.7,62.3
222,499,184,77,315,24.4,75.6
223,452,164,60,288,20.8,79.2
224,523,166,114,357,31.9,68.1
225,569,196,147,373,39.4,60.6
226,599,232,95,367,25.9,74.1
227,535,172,83,363,22.9,77.1
228,383,184,56,199,28.1,71.9
229,464,183,67,281,23.8,76.2
230,386,130,35,256,13.7,86.3
231,454,183,66,271,24.4,75.6
233,416,185,68,231,29.4,70.6
234,615,300,83,315,26.3,73.7
235,638,222,106,416,25.5,74.5
236,573,235,51,338,15.1,84.9
237,460,267,24,193,12.4,87.6
238,568,220,74,348,21.3,78.7
239,390,182,62,208,29.8,70.2
240,384,171,52,213,24.4,75.6
241,450,181,70,269,26,74
242,458,221,66,237,27.8,72.2
243,364,136,41,228,18,82
244,358,184,44,174,25.3,74.7
245,416,141,73,275,26.5,73.5
246,354,189,39,165,23.6,76.4
247,422,211,46,211,21.8,78.2
248,374,179,54,195,27.7,72.3
249,349,165,37,184,20.1,79.9
250,455,175,60,280,21.4,78.6
251,747,226,191,521,36.7,63.3
252,782,312,106,470,22.6,77.4
253,685,258,116,427,27.2,72.8
255,510,166,68,344,19.8,80.2
256,442,174,73,268,27.2,72.8
257,516,188,69,328,21,79
258,459,153,87,306,28.4,71.6
259,455,228,63,227,27.8,72.2
260,394,139,66,255,25.9,74.1
261,332,128,51,204,25,75
262,371,165,38,206,18.4,81.6
263,565,223,123,342,36,64
264,608,220,108,388,27.8,72.2
265,501,209,56,292,19.2,80.8
266,355,142,23,213,10.8,89.2
267,319,175,36,144,25,75
268,384,196,23,188,12.2,87.8
269,382,180,63,202,31.2,68.8
270,654,275,149,379,39.3,60.7
271,392,172,58,220,26.4,73.6
272,429,161,55,268,20.5,79.5
273,377,163,34,214,15.9,84.1
274,428,178,43,250,17.2,82.8
275,351,146,49,205,23.9,76.1
276,323,184,58,139,41.7,58.3
277,367,166,60,201,29.9,70.1
278,192,89,23,103,22.3,77.7
279,362,184,51,178,28.7,71.3
280,230,127,15,103,14.6,85.4
281,571,250,115,321,35.8,64.2
282,1066,431,175,635,27.6,72.4
283,581,222,114,359,31.8,68.2
284,570,209,84,361,23.3,76.7
285,281,127,44,154,28.6,71.4
286,370,155,20,215,9.3,90.7
287,412,191,74,221,33.5,66.5
288,401,191,32,210,15.2,84.8
289,361,175,29,186,15.6,84.4
290,372,184,48,188,25.5,74.5
291,438,233,43,205,21,79
292,341,134,34,207,16.4,83.6
293,330,154,44,176,25,75
294,336,166,40,170,23.5,76.5
295,944,368,199,576,34.5,65.5
296,1191,443,324,748,43.3,56.7
297,1099,455,187,644,29,71
298,943,393,157,550,28.5,71.5
299,270,141,28,129,21.7,78.3
300,829,287,99,542,18.3,81.7
301,821,289,105,532,19.7,80.3
302,355,165,40,190,21.1,78.9
303,363,149,37,214,17.3,82.7
304,304,130,31,174,17.8,82.2
305,394,210,39,184,21.2,78.8
306,665,305,100,360,27.8,72.2
307,449,209,66,240,27.5,72.5
308,771,321,123,450,27.3,72.7
309,455,192,35,263,13.3,86.7
310,323,143,19,180,10.6,89.4
311,349,160,53,189,28,72
312,429,175,86,254,33.9,66.1
313,375,155,67,220,30.5,69.5
314,508,213,74,295,25.1,74.9
315,400,187,69,213,32.4,67.6
316,312,143,58,169,34.3,65.7
318,747,275,179,472,37.9,62.1
319,492,195,45,297,15.2,84.8
320,485,191,101,294,34.4,65.6
322,307,151,65,156,41.7,58.3
324,304,148,129,156,82.7,17.3
325,332,228,54,104,51.9,48.1
327,372,185,66,187,35.3,64.7
330,367,187,67,180,37.2,62.8
332,368,193,98,175,56,44
336,493,194,106,299,35.5,64.5
337,840,369,221,471,46.9,53.1
338,297,117,46,180,25.6,74.4
339,363,167,25,196,12.8,87.2
340,386,165,50,221,22.6,77.4
341,459,180,79,279,28.3,71.7
342,290,162,58,128,45.3,54.7
344,291,144,59,147,40.1,59.9
345,324,130,22,194,11.3,88.7
347,456,241,49,215,22.8,77.2
350,375,187,114,188,60.6,39.4
352,276,146,90,130,69.2,30.8
354,435,232,78,203,38.4,61.6
356,311,180,36,131,27.5,72.5
357,383,185,36,198,18.2,81.8
358,321,168,82,153,53.6,46.4
359,461,241,126,220,57.3,42.7
360,303,148,67,155,43.2,56.8
361,346,201,33,145,22.8,77.2
362,373,199,79,174,45.4,54.6
363,349,180,96,169,56.8,43.2
364,348,217,67,131,51.1,48.9
365,364,213,56,151,37.1,62.9
366,396,170,106,226,46.9,53.1
367,366,151,48,215,22.3,77.7
368,554,260,83,294,28.2,71.8
369,479,229,104,250,41.6,58.4
370,322,174,47,148,31.8,68.2
371,509,326,48,183,26.2,73.8
372,423,226,34,197,17.3,82.7
373,309,142,59,167,35.3,64.7
374,997,447,202,550,36.7,63.3
375,395,207,76,188,40.4,59.6
376,352,151,139,201,69.2,30.8
377,311,138,126,173,72.8,27.2
378,235,125,89,110,80.9,19.1
379,653,319,165,334,49.4,50.6
380,456,194,99,262,37.8,62.2
381,392,181,37,211,17.5,82.5
382,569,175,187,394,47.5,52.5
383,538,245,118,293,40.3,59.7
384,590,244,90,346,26,74
385,474,193,63,281,22.4,77.6
386,448,202,71,246,28.9,71.1
387,391,219,28,172,16.3,83.7
388,429,204,61,225,27.1,72.9
389,459,235,54,224,24.1,75.9
390,355,158,72,197,36.5,63.5
391,255,147,46,108,42.6,57.4
392,581,250,127,331,38.4,61.6
393,365,204,45,161,28,72
394,468,210,67,258,26,74
395,424,231,35,193,18.1,81.9
396,471,274,90,197,45.7,54.3
397,507,251,68,256,26.6,73.4
398,572,290,104,282,36.9,63.1
399,352,171,39,181,21.5,78.5
400,395,213,57,182,31.3,68.7
401,415,207,56,208,26.9,73.1
402,444,206,78,238,32.8,67.2
403,544,211,142,333,42.6,57.4
404,403,173,49,230,21.3,78.7
405,360,182,35,178,19.7,80.3
407,459,197,46,262,17.6,82.4
408,422,186,73,236,30.9,69.1
409,373,178,93,195,47.7,52.3
410,393,185,64,208,30.8,69.2
411,387,160,94,227,41.4,58.6
412,342,133,62,209,29.7,70.3
413,220,117,33,103,32,68
414,417,175,109,242,45,55
415,345,176,48,169,28.4,71.6
416,350,183,52,167,31.1,68.9
419,375,189,121,186,65.1,34.9
420,332,164,130,168,77.4,22.6
421,360,188,58,172,33.7,66.3
423,313,174,125,139,89.9,10.1
424,380,189,94,191,49.2,50.8
425,360,183,41,177,23.2,76.8
428,330,150,39,180,21.7,78.3
429,342,186,31,156,19.9,80.1
430,347,205,45,142,31.7,68.3
432,319,153,54,166,32.5,67.5
433,393,183,59,210,28.1,71.9
434,301,157,38,144,26.4,73.6
435,338,168,25,170,14.7,85.3
436,487,210,115,277,41.5,58.5
437,364,136,28,228,12.3,87.7
438,459,214,43,245,17.6,82.4
439,385,207,55,178,30.9,69.1
440,326,149,46,177,26,74
441,344,149,44,195,22.6,77.4
442,314,151,61,163,37.4,62.6
443,398,150,58,248,23.4,76.6
444,506,204,83,302,27.5,72.5
445,290,168,30,122,24.6,75.4
446,352,182,61,170,35.9,64.1
447,397,179,25,218,11.5,88.5
448,378,175,79,203,38.9,61.1
449,359,166,73,193,37.8,62.2
450,187,89,31,98,31.6,68.4
451,421,159,119,262,45.4,54.6
452,323,162,65,161,40.4,59.6
455,319,201,62,118,52.5,47.5
456,442,204,144,238,60.5,39.5
457,239,84,14,155,9,91
458,267,153,50,114,43.9,56.1
459,435,196,158,239,66.1,33.9
460,357,173,108,184,58.7,41.3
